account,shares,pre_dai,post_dai
0x39AFF7827B9D0de80D86De295FE62F7818320b76,"11,649,271.919916000000000000","12,931,371.177197100000000000","8,835,874.884636460000000000"
0xE8E8f41Ed29E46f34E206D7D2a7D6f735A3FF2CB,"3,801,716.183469760000000000","4,220,126.666865470000000000","2,883,569.786589610000000000"
0x3B9Af7e7B54578Eb9Ec9DA63Af396B11C4F01AeF,"1,482,792.866102540000000000","1,645,986.552832580000000000","1,124,685.931857620000000000"
0x6c77c66402872e6E590c251330D7F898e772A46a,"903,886.277985846000000000","1,003,366.480151180000000000","685,590.148219347000000000"
0x8dc06d76A63E79C0b77633f60Bc7b9e14eD94d18,"900,200.271258391000000000","999,274.797728278000000000","682,794.343083058000000000"
0x8d6e701EedbB427625E07191df504B28de5C518d,"506,835.968674296000000000","562,617.482185859000000000","384,430.824263213000000000"
0xAE93F7E10b5c14e668Dc7C56C173F30aC7F18C29,"468,044.038982235000000000","519,556.178013693000000000","355,007.471486404000000000"
0x6FCfB789a593762557177Fe9548E44d166F91eD4,"455,482.550553864000000000","505,612.193314733000000000","345,479.688043720000000000"
0xFBe4dab86b28Fb64002056539E52e96424A3cD19,"427,723.358162776000000000","474,797.870938526000000000","324,424.573822644000000000"
0x965a954cc44e1d9c7A7C45B4Bb82da467FD5D2b2,"314,111.261446047000000000","348,681.818110203000000000","238,250.752928825000000000"
0xfEd9C6b45275F322b983AEe0F9E9f278fCB0136F,"237,347.673687793000000000","263,469.759106047000000000","180,026.216512249000000000"
0x328170Ee28Ab4276483b85eCD21964d485D4a507,"228,072.531256635000000000","253,173.810112564000000000","172,991.098899553000000000"
0x09bDFF1a9d98a1fb81D982ad2b192DD49a932296,"226,337.894926011000000000","251,248.262627454000000000","171,675.391815616000000000"
0x007a65795aeA058D7b7e8d33c6E954f8bAC533cb,"226,212.855368336000000000","251,109.461426552000000000","171,580.550361588000000000"
0x1f295fF3ea09D8eac8A39e3617bD4646d4Df7c9A,"187,454.916360467000000000","208,085.888896061000000000","142,182.979233180000000000"
0xBF78CC64068086a352438467fd4e1039975Bb70e,"181,173.214326277000000000","201,112.833310518000000000","137,418.361013411000000000"
0xE9cc26f9d0237c4fA976E9a2d10579fff3e0a649,"171,928.805624967000000000","190,851.000549454000000000","130,406.554676608000000000"
0x6385AEae7C6A8Ab8213703783bf7630af10D83a2,"164,113.238270600000000000","182,175.265008684000000000","124,478.512497630000000000"
0x4571753311E37dDb44faA8Fb78a6dF9a6E3c6C0B,"160,838.281123580000000000","178,539.871591081000000000","121,994.485014836000000000"
0x3f9F870c9F5776dc0630f672A725E61371C0c5a4,"159,950.826254895000000000","177,554.744933478000000000","121,321.357952529000000000"
0xA875b5083CaB61496dEDaa162C37130310512325,"154,903.552298476000000000","171,951.976501927000000000","117,493.043059205000000000"
0xbe4f0cdf3834bD876813A1037137DcFAD79AcD99,"137,646.287610214000000000","152,795.406312718000000000","104,403.552773048000000000"
0x20c13D008653A00a09fC3cA21aEEBf3621b94813,"119,375.571112468000000000","132,513.845513905000000000","90,545.367803501300000000"
0xEE91ae665Be6a92a1241911cEa3cae9D50Fe658D,"111,857.842757574000000000","124,168.728631511000000000","84,843.234003450700000000"
0x1CF8537d634258e74b2Ef095f6543D6596fD8Fe5,"109,435.511254531000000000","121,479.799400964000000000","83,005.915908626000000000"
0x7dC7ef3113074F2c320172373BEdC74a36C642E4,"109,015.165595149000000000","121,013.191205914000000000","82,687.087257347800000000"
0x314364604fD90583E8C533c70aA89d030D85a158,"108,257.915066084000000000","120,172.598958365000000000","82,112.719092783800000000"
0x31f2E532799041fEa9c72cD3F5160b45C68A8A5e,"103,960.506928959000000000","115,402.225315866000000000","78,853.171123701300000000"
0x9276BAe93ADf3E0b55228d20587E72f6f8014bb3,"103,708.582915445000000000","115,122.574969511000000000","78,662.088875888300000000"
0x64f80D81F4Ae9858A9E92dcE8D19EE1686cc8E04,"97,202.697983061200000000","107,900.663293386000000000","73,727.429811221000000000"
0xEDe8f53a188C333096Ab5F96f9fCd8F269065694,"93,785.806774600100000000","104,107.714790470000000000","71,135.746535225000000000"
0x9aB4F2222Af1e5604761EF06d5530c5E4325c631,"92,608.450083431300000000","102,800.780203817000000000","70,242.731376056800000000"
0x2c419966590863eEAc3666CfF65358e50dE590A1,"92,341.329884638200000000","102,504.261205611000000000","70,040.122949373900000000"
0xC08B6dbB2053E4e36fBAbefCa635C06847328803,"90,826.182344259900000000","100,822.359077517000000000","68,890.896268892800000000"
